UserID,age,gender,occupation,clusterNum
2,1,2,10,9
3,56,1,16,9
4,25,1,15,9
5,45,1,7,7
6,25,1,20,9
7,50,2,9,9
8,35,1,1,8
9,25,1,12,9
10,25,1,17,9
11,35,2,1,9
12,25,2,1,9
13,25,1,12,9
14,45,1,1,9
15,35,1,0,7
16,25,1,7,9
17,35,2,0,7
18,50,1,1,9
19,18,2,3,9
20,1,1,10,9
21,25,1,14,9
22,18,1,16,8
23,18,1,15,9
24,35,1,0,9
25,25,2,7,9
26,18,1,4,9
27,25,1,7,9
28,25,1,11,9
29,25,2,1,9
30,35,1,7,9
31,35,2,7,9
32,56,1,7,9
33,25,2,0,7
34,45,1,3,9
35,18,2,0,9
36,45,1,1,9
37,25,1,3,9
38,25,2,9,8
39,18,2,4,9
40,18,1,4,9
41,45,1,0,9
42,18,2,4,7
43,25,1,8,9
44,25,1,12,9
45,45,1,17,9
46,45,2,16,9
47,18,1,19,9
48,18,1,4,9
49,25,1,4,9
50,18,1,12,9
51,25,2,2,9
52,1,2,10,7
53,18,1,4,9
54,25,1,0,9
55,50,1,1,9
56,35,2,12,9
57,35,1,20,9
58,18,1,19,8
59,25,1,2,9
60,50,2,1,9
61,50,1,1,9
62,25,1,17,9
63,35,2,3,9
64,18,1,4,9
65,18,1,1,9
66,35,1,12,9
67,25,1,18,9
68,50,2,5,9
69,18,1,4,9
70,25,2,1,9
71,18,1,4,9
72,25,1,14,9
73,45,2,0,9
74,18,1,4,9
75,35,1,14,9
76,1,2,10,9
77,35,1,7,9
78,18,1,4,9
79,45,2,1,9
80,45,2,0,9
81,56,1,1,9
82,25,2,0,9
83,25,1,17,9
84,25,2,2,9
85,18,1,4,9
86,18,1,4,9
87,1,2,10,8
88,25,1,14,9
89,45,2,1,9
90,56,2,9,9
91,56,1,13,9
92,35,1,7,9
93,18,2,4,9
94,25,1,17,9
95,25,1,17,6
96,45,1,0,9
97,25,2,16,9
98,35,2,3,9
99,35,2,7,8
100,1,2,10,9
101,35,1,17,9
102,18,2,3,9
103,35,1,19,9
104,45,1,7,9
105,25,1,12,9
106,45,1,12,9
107,35,2,11,9
108,45,1,18,9
109,25,1,12,8
110,45,1,15,9
111,25,1,2,9
112,35,1,15,9
113,25,1,16,9
114,18,1,12,8
115,25,2,2,8
116,25,1,17,8
117,25,1,17,9
118,25,1,17,9
119,35,1,17,9
120,1,2,10,9
121,25,1,11,9
122,35,1,7,9
123,18,2,4,9
124,35,1,9,9
125,56,1,7,9
126,45,1,14,9
127,18,1,9,9
128,45,2,3,9
129,56,1,6,7
130,25,1,11,9
131,35,1,17,9
132,18,1,4,9
133,25,1,17,9
134,25,2,0,9
135,25,1,0,9
136,18,1,4,9
137,18,1,2,9
138,45,2,6,9
139,18,1,20,9
140,25,2,20,9
141,35,2,1,8
142,35,1,13,9
143,25,1,7,8
144,18,1,3,8
145,25,1,17,9
146,18,1,4,9
147,35,2,20,9
148,18,1,4,9
149,50,1,17,9
150,25,1,1,9
151,35,1,7,9
152,25,2,20,9
153,18,1,4,8
154,1,1,10,6
155,50,1,20,9
156,35,1,12,9
157,45,2,7,9
158,35,1,16,9
159,56,1,7,6
160,45,2,0,8
161,35,1,7,8
162,45,1,16,9
163,18,2,4,9
164,18,1,4,9
165,56,2,13,8
166,18,1,16,9
167,18,1,4,9
168,25,2,11,9
169,50,2,0,9
170,25,1,7,9
171,25,1,11,9
172,50,2,17,9
173,25,1,3,9
174,25,1,0,9
175,25,1,16,9
176,25,2,2,9
177,18,2,3,9
178,50,1,1,7
179,56,1,17,9
180,25,1,0,9
181,45,1,12,9
182,18,1,17,9
183,18,1,4,8
184,45,2,1,9
185,25,2,0,9
186,45,1,0,7
187,18,1,5,9
188,45,2,1,9
189,56,1,16,9
190,18,1,0,9
191,25,1,17,9
192,18,1,4,9
193,18,1,1,9
194,45,2,15,9
195,1,2,10,9
196,25,1,12,9
197,35,2,9,9
198,18,1,14,4
199,25,1,12,9
200,18,1,4,9
201,18,2,4,8
202,35,2,2,9
203,18,1,4,9
204,18,2,4,9
205,25,1,7,9
206,35,1,12,9
207,25,1,17,9
208,25,1,12,7
209,35,1,17,9
210,35,1,1,9
211,1,2,10,9
212,45,1,17,9
213,25,1,16,9
214,18,2,4,7
215,18,1,20,9
216,35,1,14,9
217,45,1,13,9
218,18,1,4,9
219,35,1,14,9
220,25,2,4,8
221,25,1,12,9
222,25,2,0,9
223,25,1,1,9
224,25,1,17,9
225,18,2,4,9
226,25,1,7,9
227,35,1,1,9
228,35,1,20,9
229,25,1,15,7
230,18,1,10,9
231,45,1,1,9
232,25,1,3,9
233,25,1,20,9
234,45,2,20,9
235,35,1,7,6
236,25,1,0,9
237,25,1,5,9
238,25,1,6,9
239,50,2,7,9
240,18,1,19,9
241,50,1,17,9
242,35,1,20,9
243,18,2,4,9
244,25,1,16,9
245,50,1,7,8
246,35,1,16,9
247,18,2,4,7
248,25,1,17,9
249,18,1,17,9
250,18,2,14,9
251,35,1,16,8
252,56,1,17,9
253,25,1,12,9
254,25,2,11,9
255,35,1,17,7
256,35,1,0,9
257,45,1,16,9
258,18,1,18,6
259,25,1,7,9
260,25,1,1,9
261,18,1,19,9
262,25,1,20,9
263,25,2,1,9
264,25,2,7,9
265,35,1,0,9
266,35,2,7,9
267,35,1,11,9
268,45,1,12,9
269,18,2,12,9
270,25,1,2,9
271,50,1,14,9
272,18,1,4,9
273,18,1,0,9
274,18,1,4,9
275,18,1,4,9
276,25,1,0,9
277,45,1,16,9
278,35,2,1,7
279,45,1,18,9
280,25,1,14,9
281,50,1,7,9
282,35,2,0,9
283,25,1,17,9
284,25,1,0,9
285,25,1,12,9
286,35,2,0,9
287,25,1,1,9
288,50,1,13,9
289,25,2,12,9
290,25,2,0,9
291,25,2,20,9
292,35,1,12,9
293,35,1,7,9
294,56,1,1,9
295,45,2,9,9
296,18,1,0,9
297,50,1,5,9
298,18,1,2,9
299,18,2,4,8
300,25,1,12,9
301,25,1,7,9
302,18,1,4,9
303,18,1,4,9
304,25,1,7,9
305,25,1,0,9
306,18,2,0,9
307,18,1,0,9
308,50,1,16,9
309,25,1,2,9
310,25,1,4,9
311,18,2,4,9
312,18,1,4,8
313,50,2,2,9
314,18,2,4,9
315,56,2,9,9
316,56,2,1,9
317,56,1,13,9
318,35,1,7,9
319,56,2,13,9
320,50,2,6,9
321,35,1,6,7
322,18,1,4,9
323,56,1,17,7
324,45,1,12,9
325,35,1,17,8
326,50,2,3,7
327,50,1,11,9
328,35,1,18,9
329,35,1,12,9
330,35,1,7,9
331,56,1,7,9
332,25,1,7,9
